country,region,weather_url,weather_source,avalanche_url,avalanche_source,notes
CH,Valais,https://www.meteoswiss.admin.ch/local-forecasts/zermatt/3920.html,MeteoSwiss,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/,SLF,MeteoSwiss local forecast page for 3920 Zermatt with multi-day forecast widget and overview weather maps.
CH,Vaud,https://www.meteoswiss.admin.ch/local-forecasts/villars-sur-ollon/1884.html,MeteoSwiss,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/,SLF,"MeteoSwiss local forecast page for 1884 Villars-sur-Ollon (Vaud Alps, adjacent to Les Diablerets/Gryon/Leysin) with multi-day forecast widget and overview weath"
CH,*,https://www.meteoswiss.admin.ch/,MeteoSwiss,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/,SLF,"MeteoSwiss English homepage hosting the national forecast entry point: local-forecast place search plus overview weather maps (hazards, precipitation radar, tem"
DE,Bavaria,https://www.dwd.de/DE/wetter/vorhersage_aktuell/suedbayern/vhs_suedbay_node.html,DWD,https://lawinenwarndienst.bayern.de/,Lawinenwarndienst Bayern,"DWD 'Vorhersage für Südbayern' regional text forecast (updated daily 10:30), covering the Bavarian Alps with temperatures at 2000 m / 3000 m and mountain wind, "
DE,*,https://www.dwd.de/DE/wetter/vorhersage_aktuell/vhs_brd_node.html,DWD,https://lawinenwarndienst.bayern.de/,Lawinenwarndienst Bayern,DWD 'Vorhersage für Deutschland' nationwide text forecast (updated daily 10:30) with links to all regional forecasts including Südbayern; German only.
FR,Alpes-Maritimes,https://meteofrance.com/meteo-montagne/mercantour,Météo-France,https://meteofrance.com/meteo-montagne/alpes-du-sud/risques-avalanche,Météo-France,"Météo-France massif-level mountain forecast page 'METEO Mercantour' with 15-day forecast, 'Tendance pour les jours suivants' and station list including Auron, I"
FR,Alpes-de-Haute-Provence,https://meteofrance.com/meteo-montagne/alpes-du-sud,Météo-France,https://meteofrance.com/meteo-montagne/alpes-du-sud/risques-avalanche,Météo-France,"Météo-France 'METEO MONTAGNE Alpes du Sud' range forecast page with 15-day forecast for all Southern Alps stations (incl. Val d'Allos La Foux, Pra Loup, Sauze/S"
FR,Haute-Savoie,https://meteofrance.com/meteo-montagne/alpes-du-nord,Météo-France,https://meteofrance.com/meteo-montagne/alpes-du-nord/risques-avalanche,Météo-France,"Météo-France 'METEO MONTAGNE Alpes du Nord' range forecast page with 15-day forecast for all Northern Alps stations (incl. Chamonix, La Clusaz, Châtel, Flaine, "
FR,Hautes-Alpes,https://meteofrance.com/meteo-montagne/alpes-du-sud,Météo-France,https://meteofrance.com/meteo-montagne/alpes-du-sud/risques-avalanche,Météo-France,"Météo-France 'METEO MONTAGNE Alpes du Sud' range forecast page with 15-day forecast for all Southern Alps stations (incl. Montgenèvre, Les Orres, Risoul, Serre "
FR,Isère,https://meteofrance.com/meteo-montagne/alpes-du-nord,Météo-France,https://meteofrance.com/meteo-montagne/alpes-du-nord/risques-avalanche,Météo-France,"Météo-France 'METEO MONTAGNE Alpes du Nord' range forecast page with 15-day forecast for all Northern Alps stations (incl. Les 7 Laux, Chamrousse, Les 2 Alpes, "
FR,Savoie,https://meteofrance.com/meteo-montagne/alpes-du-nord,Météo-France,https://meteofrance.com/meteo-montagne/alpes-du-nord/risques-avalanche,Météo-France,"Météo-France 'METEO MONTAGNE Alpes du Nord' range forecast page with 15-day forecast for all Northern Alps stations (incl. Tignes, Val Thorens, Val d'Isère, Cou"
FR,*,https://meteofrance.com/meteo-montagne,Météo-France,https://meteofrance.com/meteo-montagne,Météo-France,"Météo-France 'Météo Montagne' national hub page listing all French mountain ranges (Alpes du Nord, Alpes du Sud, Pyrénées, Corse, Jura, Vosges, Massif Central) "
IT,"Aosta, Valle d'Aosta",https://cf.regione.vda.it/en/weather-at-the-ski-resorts,Centro Funzionale VdA,https://bollettinovalanghe.regione.vda.it/home-2,Centro Funzionale VdA,"English 'Weather at the ski resorts' bulletin of the Aosta Valley Centro Funzionale with forecasts for Cervino Ski Paradise, Courmayeur Mont Blanc, Espace San B"
IT,"Belluno, Veneto",https://www.arpa.veneto.it/dati-ambientali/bollettini/meteo/dolomiti,ARPAV,https://www.arpa.veneto.it/dati-ambientali/bollettini/neve/neve-e-valanghe,ARPAV,ARPAV 'Dolomiti Meteo' bulletin page (issued daily at 13:00 with updates at 16:00 and 09:00) for the Veneto Dolomites; bulletin content rendered client-side.
IT,"Bolzano, Trentino-Alto Adige",https://weather.province.bz.it/en/mountain-weather,Provincia di Bolzano,https://avalanche.report/bulletin/latest,Euregio avalanche.report,"English 'Mountain Weather' page of the South Tyrol provincial weather service with forecasts for 7 mountain groups (Ortler-Cevedale, Rieserferner/Sexten Dolomit"
IT,"Brescia, Lombardy / Trento, Trentino",https://www.arpalombardia.it/temi-ambientali/meteo-e-clima/bollettini-meteorologici/meteo-lombardia/,ARPA Lombardia,https://www.arpalombardia.it/temi-ambientali/neve-e-ghiacciai/bollettino-neve-e-valanghe/,ARPA Lombardia,ARPA Lombardia 'Meteo Lombardia' regional forecast bulletin (text forecast issued daily plus daily/hourly model forecasts).
IT,"Cuneo, Piedmont",https://www.arpa.piemonte.it/rischi_naturali/snippets_arpa/meteo/index.html,ARPA Piemonte,https://www.arpa.piemonte.it/rischi_naturali/snippets_arpa/valanghe/,ARPA Piemonte,"ARPA Piemonte official regional weather forecast bulletin ('Previsioni meteo', issued daily with 3-day outlook text)."
IT,"Sondrio, Lombardy",https://www.arpalombardia.it/temi-ambientali/meteo-e-clima/bollettini-meteorologici/meteo-lombardia/,ARPA Lombardia,https://www.arpalombardia.it/temi-ambientali/neve-e-ghiacciai/bollettino-neve-e-valanghe/,ARPA Lombardia,ARPA Lombardia 'Meteo Lombardia' regional forecast bulletin (text forecast issued daily plus daily/hourly model forecasts).
IT,"Trento, Trentino-Alto Adige",https://www.meteotrentino.it/previsioni/bollettino-meteorologico-ufficiale-per-il-trentino/,Meteotrentino,https://avalanche.report/bulletin/latest,Euregio avalanche.report,Meteotrentino 'Bollettino meteorologico ufficiale' for Trentino with daily multi-day text forecast and PDF download.
IT,"Trento, Trentino-Alto Adige / Belluno, Veneto",https://www.meteotrentino.it/previsioni/bollettino-meteorologico-ufficiale-per-il-trentino/,Meteotrentino,https://avalanche.report/bulletin/latest,Euregio avalanche.report,Meteotrentino 'Bollettino meteorologico ufficiale' for Trentino with daily multi-day text forecast and PDF download.
IT,"Trento, Trentino-Alto Adige / Bolzano",https://www.meteotrentino.it/previsioni/bollettino-meteorologico-ufficiale-per-il-trentino/,Meteotrentino,https://avalanche.report/bulletin/latest,Euregio avalanche.report,Meteotrentino 'Bollettino meteorologico ufficiale' for Trentino with daily multi-day text forecast and PDF download.
IT,"Turin, Piedmont",https://www.arpa.piemonte.it/rischi_naturali/snippets_arpa/meteo/index.html,ARPA Piemonte,https://www.arpa.piemonte.it/rischi_naturali/snippets_arpa/valanghe/,ARPA Piemonte,"ARPA Piemonte official regional weather forecast bulletin ('Previsioni meteo', issued daily with 3-day outlook text)."
IT,"Verbano-Cusio-Ossola, Piedmont",https://www.arpa.piemonte.it/rischi_naturali/snippets_arpa/meteo/index.html,ARPA Piemonte,https://www.arpa.piemonte.it/rischi_naturali/snippets_arpa/valanghe/,ARPA Piemonte,"ARPA Piemonte official regional weather forecast bulletin ('Previsioni meteo', issued daily with 3-day outlook text)."
IT,"Vercelli, Piedmont",https://www.arpa.piemonte.it/rischi_naturali/snippets_arpa/meteo/index.html,ARPA Piemonte,https://www.arpa.piemonte.it/rischi_naturali/snippets_arpa/valanghe/,ARPA Piemonte,"ARPA Piemonte official regional weather forecast bulletin ('Previsioni meteo', issued daily with 3-day outlook text)."
IT,*,https://www.meteoam.it/it/mappa-montagna,Meteo AM (Aeronautica Militare),https://bollettini.aineva.it/bulletin/latest,AINEVA,"National mountain weather forecast map ('Previsioni meteo montagna Italia') of the Italian Air Force Meteorological Service; Italian only, map rendered client-s"
SI,*,https://meteo.arso.gov.si/met/sl/weather/bulletin/mountain/,ARSO,https://meteo.arso.gov.si/met/en/weather/bulletin/mountain/avalanche/bulletin/,ARSO,"ARSO meteo.si 'Gorski svet' (mountain world) page: daily text forecast for the Slovenian mountains (today/tomorrow, temperatures at 1500 m and 2500 m, wind) plu"
