resort_name,local_name,country,region,ski_area,type,opening_date_2026_27,opening_date_status,max_elevation_m,piste_km,ticket_price_min,ticket_price_max,currency,price_status,driving_distance_km_from_milan,driving_time_h_from_milan,road_head,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,comments,sources,confidence
Courchevel,,FR,Savoie,3 Vallées,Non-glacier,2026-12-04,confirmed_2026_27,2738,150,77.0,77.0,EUR,published_2026_27,378,4.56,,3.5,3.0,Grand Couloir and Saulire/Creux Noirs couloirs give real off-piste but the resort is on-piste/luxury oriented with no FWT history; little touring culture beyond the Vanoise fringe.,https://courchevel.com/en/livecams/webcam/,"Villages 1850/1650/1550/Le Praz/La Tania = one row; 2026/27 high-season (19 Dec-9 Apr) adult day 77 EUR, low season cheaper; 3 Vallees day pass 84.20 EUR 2026/27; Courchevel valley km not stated on official pages fetched (3 Vallees 600 km); Saulire 2738 m from Wikipedia cross-check",https://www.les3vallees.com/en/live/lifts-and-trails-opening | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skipasscourchevel.com/en/courchevel-skipass-prices | https://courchevel.com/en/le-domaine-skiable-des-3-vallees/ | https://en.wikipedia.org/wiki/Courchevel | https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/ | https://courchevel.com/en/livecams/webcam/ | https://courchevel.com/en/forfaits-de-ski/,medium
Alpe d'Huez,,FR,Isère,Alpe d'Huez Grand Domaine,Glacier + non-glacier,2026-12-05,confirmed_2026_27,3330,250,66.0,66.0,EUR,estimated_from_2025_26,326,4.58,,4.0,3.5,"Rubric 4.0 example: big lift-served off-piste (Sarenne/Pic Blanc glacier, Combe du Loup, Grand Sablat, Vaujany and Oz couloirs) with an established guide scene; Grandes Rousses touring (Etendard, Col de la Pyramide, Pic Blanc) is documented but the resort is not a touring hub.",https://www.alpedhuez.com/en/webcams/,"2025/26 pass grid uses period tiers, high season 20 Dec 2025-10 Apr 2026 adult day 66.00 (progressive pricing by period, not dynamic); 2026/27 day price not yet visible (JS ticketing site); a snow-dependent early weekend 29-30 Nov 2025 was floated but no confirmation found, official opening 6 Dec 2025; from Italy either Frejus tunnel-Grenoble or Montgenevre-Briancon-Col du Lautaret (kept open in winter, storm closures possible).",https://skipass.alpedhuez.com/hiver/en/ | https://skipass.alpedhuez.com/hiver/en/all-news/ | https://www.agencehenry.com/alpe-dhuez-2025-2026-ouverture-du-domaine-tarifs-promos-et-bons-plans-pour-skier-moins-cher.html | https://www.parenthese-vacances.com/evenements/ouverture-saison-hiver-2025/2026-alpe-dhuez-grand-domaine-ski-47 | https://www.skiresort.com/en/ski-resort/alpe-dhuez/ | https://www.alpedhuez.com/en/webcams/ | https://www.skiinfo.fr/alpe-dhuez-grand-domaine-ski/dates-ouverture-stations,medium
Auron,,FR,Alpes-Maritimes,Auron (Stations du Mercantour),Non-glacier,2026-12-05,confirmed_2026_27,2450,135,44.0,44.0,EUR,estimated_from_2025_26,408,5.25,,3.0,3.0,Mainly on-piste with some off-piste under Las Donnas and no freeride events; Mercantour/Tinee touring is decent but modest.,https://www.stationsnicecotedazur.com/fr/webcam/auron/,"Official day-price page shows 44 EUR but without a season label (skiinfo: 44 EUR for 2025/26, +2 EUR card; 2026/27 price not confirmed); Col de la Lombarde closed in winter, so from Italy via Ventimiglia-Nice-Tinee valley (M2205) or the Col de Tende tunnel; base = Auron village (Las Donnas cable car). Milan route forced via Nice to avoid closed Lombarde.",https://hiver.auron.com/ | https://hiver.auron.com/forfaits/tarifs-journee-1-2-journee/ | https://www.stationsnicecotedazur.com/fr/le-domaine | https://www.monaco-tribune.com/2025/12/isola-2000-auron-on-connait-la-date-douverture-des-stations-de-ski-du-mercantour/ | https://www.skiinfo.fr/alpes-du-sud/auron/forfaits-de-ski | https://www.skiresort.com/en/ski-resort/auron-saint-etienne-de-tinee/,medium
Châtel,,FR,Haute-Savoie,Portes du Soleil,Non-glacier,2026-12-05,confirmed_2026_27,2200,120,55.0,55.0,EUR,published_2026_27,305,4.38,,3.0,3.0,Linga north faces and Cornebois off-piste; valley touring to Mont de Grange/Cornettes de Bise.,https://www.chatel.com/en/webcams/,"Base = Linga gondola car park (Route de Pré-la-Joux); Super-Châtel gondola in the village; La Chapelle-d'Abondance is a linked village on the same pass. From Italy via Grand-Saint-Bernard/Martigny-Monthey-Pas de Morgins (open in winter). 2025/26: partial from 6 Dec (Avoriaz pre-opening with Châtel link; bergfex), 13 Dec partial, 20 Dec total, closed 19 Apr 2026. 2026/27: partial 5-6 Dec and 12-18 Dec, total 19 Dec 2026-18 Apr 2027. Espace Liberté 55 EUR high season (47 off-peak/late season); Portes du Soleil 69 EUR; online rates lower than desk. Top 2200 m per skiinfo; bergfex quotes 2466 m (summit).",https://www.chatel.com/skier/dates-douverture-du-domaine-skiable/ | https://www.skipass-chatel.com/en/tarifs-hiver | https://www.chatel.com/skier/domaines-skiables/ | https://www.avoriaz.com/en/winter/pre-opening/ski-area/ | https://www.bergfex.com/chatel/ | https://www.skiinfo.fr/alpes-du-nord/chatel/station-de-ski | https://www.skiresort.com/en/ski-resort/les-portes-du-soleil-morzine-avoriaz-les-gets-chatel-morgins-champery/,medium
Flaine,,FR,Haute-Savoie,Le Grand Massif,Non-glacier,2026-12-05,confirmed_2026_27,2500,265,63.0,63.0,EUR,published_2026_27,300,4.07,,3.5,3.0,"Gers bowl, Désert de Platé and Grandes Platières off-piste are well known; touring mostly Platé plateau/Tête Pelouse day tours.",https://www.flaine.com/en/webcams/,"Base = Flaine Forum/Front de Neige car parks (via Cluses, A40; from Italy via Mont Blanc tunnel). 2025/26 pre-opening 29-30 Nov 2025 (Aup de Véran sector), official 6 Dec 2025-19 Apr 2026. 2026/27: 5 Dec 2026-18 Apr 2027 (5-18 Dec subject to snow). Local Flaine-only pass 60.70 EUR (2026/27); Grand Massif 63 EUR (+2 EUR keycard). Top: official 2500 m (Grandes Platières), skiresort.com 2480 m.",https://www.flaine.com/en/winter-openings-27/ | https://www.flaine.com/en/flaine-ski-resort-opening-2025-early-season-deals/ | https://www.grand-massif.com/en/grand-massif-opening/ | https://www.grand-massif.com/en/ski-offers/package-rates/ | https://www.flaine.com/domaine-skiable/ | https://www.skiresort.com/en/ski-resort/le-grand-massif-flaine-les-carroz-morillon-samoens-sixt/,high
Isola 2000,,FR,Alpes-Maritimes,Isola 2000 (Stations du Mercantour),Non-glacier,2026-12-05,confirmed_2026_27,2610,120,44.0,44.0,EUR,estimated_from_2025_26,406,5.19,,3.0,3.0,"Snow-sure Mercantour bowls with some off-piste (Pelevos, Sistron) but no FWQ pedigree; touring toward Col de la Lombarde/Mercantour is decent but limited.",https://www.stationsnicecotedazur.com/fr/webcam/isola/,"Continuous opening 6 Dec 2025-19 Apr 2026 after the 29-30 Nov pre-opening; official 2025/26 day price 44 EUR (card extra, insurance 3.50), 2026/27 price not published; Col de la Lombarde (from Vinadio) closed in winter, so from Italy via Ventimiglia-Nice-Tinee valley or the Col de Tende tunnel. Milan route forced via Nice to avoid closed Lombarde.",https://isola2000.com/forfaits-ski/ | https://isola2000.com/hiver/ | https://www.stationsnicecotedazur.com/fr/le-domaine | https://www.nicecotedazur.org/actualites/preouverture-a-isola-2000-les-29-et-30-novembre-2025/ | https://www.monaco-tribune.com/2025/12/isola-2000-auron-on-connait-la-date-douverture-des-stations-de-ski-du-mercantour/ | https://www.skiinfo.fr/alpes-du-sud/isola-2000/forfaits-de-ski | https://www.skiresort.com/en/ski-resort/isola-2000/,medium
Le Grand-Bornand,,FR,Haute-Savoie,Le Grand-Bornand,Non-glacier,2026-12-05,estimated_from_2025_26,2100,90,52.0,52.0,EUR,published_2026_27,384,4.79,,3.0,3.5,"Lachat/Almet off-piste is limited; good Aravis touring access (Pointe Percée north side, Col des Annes, Pointe d'Almet).",https://www.legrandbornand.com/webcams/,"Base = Le Chinaillon (1300 m) ski-village car parks; village gondola (Rosay) lower. Col de la Colombière closed in winter (approach via Thônes/Saint-Jean-de-Sixt). 2025/26 dates (6-7 Dec weekend, continuous 13 Dec 2025-10 Apr 2026) are planned dates from aggregators, not separately verified. 2026/27: 12 Dec 2026-11 Apr 2027; day pass 52 EUR (official 2026/27 tariff). Aggregator/press lists a provisional 2026/27 opening of 2026-12-12, not confirmed by the operator; date shown is the 2025/26 opening shifted. Milan route forced via Albertville to avoid closed Colombière.",https://pass.legrandbornand.com/fr/tarifs | https://www.alti-mag.com/domaines-skiables/le-grand-bornand-alpin | https://www.legrandbornand.com/ | https://www.bergfex.com/le-grand-bornand/ | https://www.skiresort.com/en/ski-resort/le-grand-bornand/ | https://www.alti-mag.com/dates-douverture-stations-ski,medium
Les Contamines-Montjoie,,FR,Haute-Savoie,Les Contamines-Hauteluce (Evasion Mont-Blanc pass),Non-glacier,2026-12-05,confirmed_2026_27,2487,120,55.8,55.8,EUR,published_2026_27,272,3.65,,3.5,4.0,"Good lift-served off-piste (Col du Joly, Aiguille Croche, Nant Rouge); strong touring (Dômes de Miage, Tré-la-Tête, Col de la Fenêtre) inside the nature reserve with an active guide office.",https://www.lescontamines.com/hiver/webcams,"Base = Télécabine du Lay (main car park); Télécabine de la Gorge is the second base (works summer 2026). 2025/26: partial 6-7 Dec and 13-19 Dec, general 20 Dec 2025-12 Apr 2026. 2026/27: partial 5-6 Dec and 12-18 Dec, general 19 Dec 2026-10 Apr 2027. Elevation: lift-co states 1164-2500 m, bergfex 2487 m, skiresort.com 2437 m. Also on the Evasion Mont-Blanc pass (65 EUR 2026/27). Route via Mont Blanc tunnel-Saint-Gervais.",https://skipass.lescontamines.net/fr/forfait-contamines | https://www.lescontamines.com/hiver/actualites | https://www.bergfex.com/les-contamines-montjoie/ | https://www.skiresort.com/en/ski-resort/les-contamines-hauteluce/ | https://www.alti-mag.com/dates-douverture-stations-ski,high
Les Menuires,,FR,Savoie,3 Vallées,Non-glacier,2026-12-05,confirmed_2026_27,2804,160,67.0,67.0,EUR,estimated_from_2025_26,384,4.76,,3.5,3.0,"La Masse sector (Vallon du Lou, Lac du Lou) offers good north-facing off-piste; no FWT history; touring limited to Belleville valley routes.",https://lesmenuires.com/en/webcams,"2025/26 Les Menuires/Saint-Martin adult day 67 EUR (20 Dec 2025-10 Apr 2026, official PDF; Belleville valley pass 77, 3 Vallees 81.80); 2026/27 day price not yet online (sales open early Oct 2026; 3 Vallees 84.20, Belleville valley 79); Pointe de la Masse gondola top altitude not verified on fetched sources (Sevabel map shows 3 Marches 2704 m)",https://lesmenuires.com/en/resort-opening | https://assets.ctfassets.net/4a1jxa5u6hbl/6CmYw4WjvB79AgqrJGGOfB/ee8f9cd466fa8c606c3909d4c437cb82/GUIDEDESTARIFS_25-26-V3.pdf | https://www.skipass-lesmenuires.com/en/menuires-stmartin-winter | https://www.skipass-lesmenuires.com/en/ | https://www.les3vallees.com/en/live/lifts-and-trails-opening | https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/ | https://lesmenuires.com/en/webcams | https://lesmenuires.com/en/pointe-de-la-masse-winter,medium
Les Orres,,FR,Hautes-Alpes,Les Orres,Non-glacier,2026-12-05,confirmed_2026_27,2720,100,43.2,45.5,EUR,published_2026_27,312,4.35,,3.0,3.0,"Sunny, mostly groomed Serre-Poncon resort with modest off-piste (Pousterle, Boussolenc) and no FWQ history; limited touring around the Parpaillon massif.",https://www.lesorres.com/en/webcams,"2026/27 high season 19 Dec 2026-19 Mar 2027: window 45.50, online 48 h ahead 43.20 (mid season 38.50, low 34.00); 2025/26 day pass 42-44.50 per aggregators; base = Les Orres 1650 centre (Bois Mean 1800 is a second front de neige); access via Embrun (D40).",https://www.lesorres.com/en/skiing-in-les-orres/the-ski-area | https://forfait.lesorres.com/fr/forfaits-ski | https://www.lesorres.com/en | https://www.envie-de-serre-poncon.com/event/ouverture-les-orres-hiver-2025-2026 | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://www.skiresort.com/en/ski-resort/les-orres/,high
